date;open ;high;low ;close ;volume ;marcap
1315;9253.02;9450.34;9249.50;9428.33;19702359883;173739000000
1316;9427.99;9431.38;9235.00;9277.97;18000702524;170977000000
1317;9273.36;9287.47;9118.00;9278.81;16860035605;171002000000
1318;9277.51;9293.53;9199.49;9240.35;13249910444;170302000000
1319;9241.06;9319.42;9197.45;9276.50;14452361907;170977000000
1320;9277.20;9306.40;9224.29;9243.61;17519821266;170380000000
1321;9238.70;9283.84;9171.66;9243.21;18085038362;170381000000
1322;9241.90;9275.33;9171.93;9192.84;15844731575;169460000000
1323;9191.98;9214.31;9088.95;9132.23;15713967523;168351000000
1324;9131.81;9182.25;9089.20;9151.39;13944570749;168710000000
1325;9151.18;9230.98;9100.82;9159.04;12252601475;168859000000
1326;9158.01;9201.40;9097.63;9185.82;12939002784;169360000000
1327;9187.22;9214.27;9137.51;9164.23;13755604146;168970000000
1328;9162.51;9407.26;9149.39;9374.89;18069581956;172862000000
1329;9375.08;9530.52;9319.65;9525.36;16532254884;175645000000
1330;9527.14;9610.25;9483.00;9581.07;18146399002;176680000000
1331;9585.51;9623.34;9481.45;9536.89;16552768325;175875000000
1332;9539.49;9704.56;9530.21;9677.11;16610070933;178470000000
1333;9680.23;10023.81;9652.85;9905.17;20507998997;182685000000
1334;9905.22;11298.22;9903.97;10990.87;35359749590;202720000000
1335;11017.46;11204.33;10632.63;10912.82;28766551142;201290000000
1336;10912.95;11304.40;10856.14;11100.47;24617249715;204761000000
1337;11099.83;11169.36;10895.46;11111.21;22857247901;204969000000
1338;11110.21;11415.86;10987.05;11323.47;23160469766;208895000000
1339;11322.57;11794.78;11239.68;11759.59;26075670303;216951000000
1340;11758.76;12034.14;11018.13;11053.61;27410067336;203936000000
1341;11043.77;11453.08;11012.41;11246.35;20271713443;207503000000
1342;11246.20;11385.38;11094.15;11205.89;21250197042;206767000000
1343;11203.82;11786.62;11158.29;11747.02;24411254471;216761000000
1344;11749.87;11902.34;11598.71;11779.77;23400740340;217377000000
1345;11778.89;11898.04;11408.59;11601.47;23132312867;214098000000
1346;11604.55;11800.06;11558.43;11754.05;17572057837;216924000000
1347;11737.33;11806.06;11548.78;11675.74;17489608833;215490000000
1348;11662.26;12045.14;11662.26;11878.11;26114112569;219235000000
1349;11881.65;11932.71;11195.71;11410.53;27039782640;210616000000
1350;11404.60;11748.40;11249.61;11584.93;25064548486;213847000000
1351;11588.41;11796.40;11216.87;11784.14;27522199497;217535000000
1352;11772.66;12150.99;11685.46;11768.87;24237958589;217265000000
1353;11768.70;11963.20;11768.70;11865.70;23354924400;219064000000
1354;11866.69;11934.90;11737.19;11892.80;20583375490;219576000000
1355;11895.66;12359.06;11806.70;12254.40;28227687027;226262000000
1356;12251.90;12335.71;11954.53;11991.23;26043227672;221413000000
1357;11990.88;12028.92;11687.33;11758.28;24502851117;217122000000
1358;11761.50;11900.41;11710.06;11878.37;20175242945;219350000000
1359;11878.03;11899.26;11564.98;11592.49;23762425999;214082000000
1360;11585.48;11689.41;11448.81;11681.83;20224191306;215742000000
1361;11679.70;11713.43;11559.92;11664.85;18482062658;215440000000
1362;11663.69;11807.63;11623.25;11774.60;20681511755;217478000000
1363;11773.59;11778.30;11189.85;11366.14;26301509932;209943000000
1364;11366.89;11530.05;11296.99;11488.36;22466660958;212211000000
1365;11485.61;11570.79;11185.94;11323.40;23240415076;209172000000
1366;11325.30;11545.62;11316.42;11542.50;19807127588;213232000000
1367;11541.05;11585.64;11466.29;11506.87;17485597759;212584000000
1368;11508.71;11715.26;11492.38;11711.51;19760127945;216374000000
1369;11713.31;11768.88;11598.32;11680.82;22285928250;215818000000
1370;11679.32;12067.08;11601.13;11970.48;27311555343;221181000000
1371;11964.82;11964.82;11290.79;11414.03;28037405299;210910000000
1372;11407.19;11443.02;10182.47;10245.30;31927261555;189322000000
1373;10230.37;10663.92;10207.94;10511.81;29965130374;194256000000
1374;10512.53;10581.57;9946.68;10169.57;44916565292;187940000000
1375;10167.22;10353.93;10056.89;10280.35;37071460174;189997000000
1376;10281.00;10399.15;9916.49;10369.56;33703098409;191657000000
1377;10369.31;10414.78;9945.11;10131.52;33430927462;187267000000
1378;10134.15;10350.54;10017.25;10242.35;24128292755;189326000000
1379;10242.33;10503.91;10238.14;10363.14;54406443211;191568000000
1380;10369.03;10434.92;10140.84;10400.91;45201121775;192276000000
1381;10409.86;10578.84;10292.39;10442.17;36750077324;193049000000
1382;10452.40;10577.22;10224.33;10323.76;36506852789;190871000000
1383;10328.73;10800.01;10266.01;10680.84;35453581940;197484000000
1384;10677.75;10938.63;10656.46;10796.95;32509451925;199642000000
1385;10797.76;11100.12;10704.88;10974.90;30769986455;202943000000
1386;10973.25;11037.42;10774.63;10948.99;38151810523;202476000000
1387;10951.82;11034.91;10829.66;10944.59;26341903912;202406000000
1388;10933.75;11134.09;10909.62;11094.35;22764204008;205186000000
1389;11095.87;11095.87;10814.48;10938.27;24699523788;202309000000
1390;10934.93;10988.30;10380.26;10462.26;28884999244;193514000000
1391;10459.62;10568.08;10382.73;10538.46;23621787804;194932000000
1392;10535.49;10537.83;10197.86;10246.19;23788661867;189530000000
1393;10248.79;10771.06;10231.49;10760.07;47144380902;199046000000
1394;10761.11;10777.70;10578.91;10692.72;39348590957;197810000000
1395;10695.58;10773.00;10667.28;10750.72;46852525493;198893000000
1396;10746.89;10803.98;10622.92;10775.27;53745972818;199358000000
1397;10776.61;10945.35;10703.89;10709.65;47762394731;198154000000
1398;10709.65;10860.00;10649.50;10844.64;46582396602;200660000000
